year,TOPEX/Poseidon,Jason-1,Jason-2,Jason-3
1992.96120,3.60000,,,
1992.98550,-33.45000,,,
1993.01170,-87.40000,,,
1993.04050,-35.50000,,,
1993.06590,-61.98000,,,
1993.09770,-21.08000,,,
1993.11980,-103.40000,,,
1993.14950,-70.67000,,,
1993.17620,12.00000,,,
1993.20290,-1.90000,,,
1993.23020,-61.35000,,,
1993.28450,-27.34000,,,
1993.31130,-17.06000,,,
1993.33880,1.06000,,,
1993.36650,-0.44000,,,
1993.39340,7.00000,,,
1993.42010,-3.73000,,,
1993.44820,-12.08000,,,
1993.47440,-22.22000,,,
1993.49980,-20.67000,,,
1993.52830,-35.06000,,,
1993.58280,-26.83000,,,
1993.61050,-42.82000,,,
1993.63730,-23.71000,,,
1993.66430,4.34000,,,
1993.69140,-10.71000,,,
1993.71810,12.54000,,,
1993.74580,-22.70000,,,
1993.77290,24.55000,,,
1993.80020,16.85000,,,
1993.85500,0.86000,,,
1993.88150,-97.37000,,,
1993.90900,-72.30000,,,
1993.93620,-29.88000,,,
1993.96310,-29.56000,,,
1993.98980,-16.94000,,,
1994.01740,27.82000,,,
1994.04450,11.22000,,,
1994.07170,-106.11000,,,
1994.09870,-65.12000,,,
1994.12560,43.13000,,,
1994.15290,24.30000,,,
1994.18010,-37.62000,,,
1994.23470,-78.13000,,,
1994.26130,-67.67000,,,
1994.28830,-25.47000,,,
1994.31600,20.49000,,,
1994.34330,-5.95000,,,
1994.37010,-4.20000,,,
1994.39720,33.28000,,,
1994.42450,-6.82000,,,
1994.45180,-24.40000,,,
1994.50500,-25.18000,,,
1994.53320,-21.03000,,,
1994.56010,-43.50000,,,
1994.58760,-7.76000,,,
1994.61470,-6.33000,,,
1994.64170,-13.26000,,,
1994.66880,-10.84000,,,
1994.69610,-22.45000,,,
1994.72310,-12.36000,,,
1994.75050,-15.75000,,,
1994.77660,-47.48000,,,
1994.80480,-30.59000,,,
1994.83180,-4.77000,,,
1994.88530,-9.50000,,,
1994.91320,-14.21000,,,
1994.94020,-28.32000,,,
1994.96750,-25.41000,,,
1994.99460,-7.49000,,,
1995.02190,-31.54000,,,
1995.04900,-53.80000,,,
1995.07600,-15.51000,,,
1995.10310,1.85000,,,
1995.13020,32.93000,,,
1995.15780,-21.23000,,,
1995.21190,-52.64000,,,
1995.23900,-55.97000,,,
1995.26650,-46.10000,,,
1995.29380,-9.33000,,,
1995.32050,-7.95000,,,
1995.37480,-18.32000,,,
1995.40170,-25.02000,,,
1995.42900,-27.54000,,,
1995.45590,12.35000,,,
1995.48280,-10.30000,,,
1995.53760,-9.35000,,,
1995.56480,-20.08000,,,
1995.59180,-17.08000,,,
1995.61880,-23.11000,,,
1995.64640,-24.14000,,,
1995.67290,-15.34000,,,
1995.70060,6.42000,,,
1995.72740,-25.38000,,,
1995.75460,-35.28000,,,
1995.78200,-44.10000,,,
1995.83680,-19.48000,,,
1995.86340,5.61000,,,
1995.88880,34.82000,,,
1995.94510,1.49000,,,
1995.97240,44.59000,,,
1995.99720,116.66000,,,
1996.02620,120.16000,,,
1996.05210,5.93000,,,
1996.08080,74.89000,,,
1996.10790,38.62000,,,
1996.16290,-0.82000,,,
1996.18910,-15.91000,,,
1996.21620,32.53000,,,
1996.24360,33.73000,,,
1996.27070,14.54000,,,
1996.29780,-26.36000,,,
1996.32510,-29.83000,,,
1996.35220,56.21000,,,
1996.37940,78.18000,,,
1996.40630,17.26000,,,
1996.43450,-24.71000,,,
1996.48780,-40.28000,,,
1996.51490,-16.22000,,,
1996.54200,-2.40000,,,
1996.56940,19.36000,,,
1996.59720,-0.70000,,,
1996.62370,19.06000,,,
1996.65090,2.36000,,,
1996.67780,-36.45000,,,
1996.70480,6.34000,,,
1996.73320,37.77000,,,
1996.75910,2.56000,,,
1996.81370,0.53000,,,
1996.84050,-18.43000,,,
1996.86800,22.07000,,,
1996.89480,43.05000,,,
1996.92220,15.35000,,,
1996.94980,11.25000,,,
1996.97620,77.13000,,,
1997.00380,105.07000,,,
1997.03060,98.61000,,,
1997.05840,79.49000,,,
1997.08470,-4.33000,,,
1997.13930,-20.25000,,,
1997.16660,-24.07000,,,
1997.19370,-18.47000,,,
1997.22060,-15.66000,,,
1997.24820,-61.44000,,,
1997.27520,-61.90000,,,
1997.30230,-56.30000,,,
1997.32930,11.77000,,,
1997.35680,37.74000,,,
1997.38400,26.38000,,,
1997.41080,16.96000,,,
1997.46540,16.27000,,,
1997.49080,13.08000,,,
1997.51940,14.21000,,,
1997.54670,-14.98000,,,
1997.57390,-6.79000,,,
1997.62800,-16.12000,,,
1997.65530,-3.49000,,,
1997.68260,13.50000,,,
1997.70920,16.41000,,,
1997.73700,-28.98000,,,
1997.79060,0.85000,,,
1997.81820,22.49000,,,
1997.84550,22.28000,,,
1997.87250,67.00000,,,
1997.89950,20.19000,,,
1997.92660,-0.96000,,,
1997.95390,2.61000,,,
1997.98120,71.95000,,,
1998.00830,0.73000,,,
1998.03580,-17.98000,,,
1998.08990,36.34000,,,
1998.11680,51.05000,,,
1998.14380,-36.13000,,,
1998.17100,-9.86000,,,
1998.19840,3.21000,,,
1998.22520,-38.31000,,,
1998.25210,-26.59000,,,
